,id,products
10,10006,93600541;93600063;5284904;5291604;5174907;5407410;5438511;5173807;5153804;5173907;5201708;69200357;69200091;93600896;93600899;93600900;93600901;93600902;93600903;93600906;93600911;93600919;93600920;93600926;93600927;93600928;93600932;93600933;93600934;93600935;57400025;5815808;5806304;5771601;5816496;5783808;9598298;5802496;5707098;6812997;93600940;93600941;93600942;93600943;93600946;5020304;93600956;93600957;93600966;93600967;93600971;93600974;50700010;3339506;3484009;3377809;3393009;3458609;93601002;4270504;4244796;3461594;4932204;5061086;5076309;4906004;93601003;4901888;93601004;5046211;5025004;93604213;93604214;93604215;93604216;93604218;93604221;93600880;93604223;93604224;93604244;93604245;93604246;93604247;93600673;93604373;93604374;93604375;93600573;93600722;93600721;93600689;93600690;93600691;93604440;93604441;93604442;93604448;93604449;93604450;93604538;93604541;93604800;93604813;93604819;93604820;93604821;93604894;93604899;93604900;93604966;93604967;93604968;93604969;93604791;93604714;93604994;93604995;93604996;93605073;93605084;93605087;93605091;93605098;93605100;93605101;93605102;93605103;93605104;93605105;93605106;5173410;93605154;93605165;93605166;93605117;93605194;93605195;93605130;93605217;93605116;93605226;93605227;93605228;93605230;9411195;93605232;5175107;5473304;5470407;4548005;93605233;93604707;93604710;4414807;4390794;93604719;93604716;93605297;93605301;93605316;93605318;93605349;93605351;93605352;93605363;93605364;93605365;93605366;4905304;93605375;93605376;93605381;93605382;93605383;93605384;93605389;93605390;93605392;93605395;93605396;93605398;93605397;93605400;93605394;93605401;93605403;93605406;93605407;93605408;93605402;93605413;93605415;93604739;93604740;93605461;93605462;93605463;93605464;93605482;93605487;93605491;93605176;93605568;4411707;4342809;93605653;93605651;93604748;93600587;93604438;93605137;93605563;5107410;93604319;5167697;93600999;57400006;93605666;93605724;93605731;93600925;93605776;93605777;93605778;93600910;93605355;93605356;93605357;93600969;93605780;93605781;93605782;93605783;93605785;93605786;93605787;93605788;93605350;93605665;93605805;93605804;93605809;93605812;93605813;93600506;93605824;93605823;93605837;93605838;93605839;93605859;93605864;93605341;93600399;93605573;93600964;93605664;93605897;93605902;93605901;93605904;93605906;93604963;93605889;93605815;93605909;93605910;93605912;93605913;93605212;93605927;2925308;93605929;29000009;93605933;93605945;93605951;93605952;93600851;93605957;93605962;93605966;93605990;93605993;93605994;93605995;93605996;93604932;93606015;93606016;93604271;93606005;93606081;93606135;93600435;93606137;93606152;93606153;93600952;93600953;93600945;93605231;93606162;93606160;93606163;93604687;93604688;93604689;93600465;93606164;93606165;93606166;93606168;93606169;93606170;93606172;93606136;93606176;93606183;93606182;93606200;93606207;93606221;93606187;93600395;93605569;93600377;93600408;93600424;93600483;93600443;93600366;93600474;93600453;93600418;93600498;93600500;93600387;93606239;93606240;93604498;93606263;93606264;93606274;93606284;93606285;93606332;93604938;93604939;93606335;93606343;93605353;93606373;93606374;93606376;93606380;93606382;93606383;93600923;93604816;93600954;93600963;93600965;93600970;93606158;5265204;93605331;93605339;93606348;93605325;5164106;93605340;93605338;5261295;93605321;5251794;93606159;93605342;93605343;93606416;93606418;93604661;93606424;93606426;93600998;93606469;93606518;93606519;93606520;93606521;93606522;93606524;93606526;93606527;93606529;93606530;93606532;93606533;93606534;93600877;93606173;93606536;93600523;93600515;93600517;93600525;93600511;93600520;93606538;93606551;93604420;93604419;93606574;93606576;93606661;93606727;93606757;93606758;93606759;93606760;93606305;93606762;93600535;93605460;93606766;93606767;93606768;93606770;93606771;93606774;93606786;93606788;93606791;93606792;93606797;93606798;93600572;93606814;93606824;93606826;93606843;93606844;93606845;93606872;93606874;93606875;93606877;93606879;93606880;93606881;93606882;93606883;93606884;93606886;93606887;93606888;93606889;93606891;93606893;93606894;93606897;93606898;93606905;93606906;93606907;93606908;93606909;93606910;93606911;93606919;93606920;93606948;93607034;93607052;93607080;93600915;93607241;93607242;93607243;93607244;93606833;93607271;93606901;93607283;93607545;93607988;93608099;93608118;93608119;93608120;93608159;93608160;93608161;93608162;93608163;93608171;93608175;93608177;93608179;93608184;93608208;93608213;93608329;93608287;93608286;93609292;93609758;93610471;93610477;93610489;93604279;93607075;93608023;93608360;93605816;93605835;93605836;93610946;93610945;93610947;93606105;93610960;93610969;93610970;93610980;93610981;93610982;93610983;93610991;93610992;93610993;93610994;93610995;93610996;93611001;93611002;93611003;93605495;93610530;93609432;93611030;93608661;93609755
11,10007,93600537;93600539;93600541;93600571;69200357;69200091;93600920;93600926;93600932;93600933;93600934;93600935;57400025;5815808;5771601;5816496;9598298;5802496;5707098;6812997;93600956;93600957;93600976;93600981;93600982;93600984;93600985;93600986;93600987;93600988;93600989;93600990;93600991;93600992;93600993;93600994;93600995;93600996;93600998;5076309;93604225;93604226;93604227;93604229;93604230;93604231;93604244;93604245;93604246;93604247;93604282;93604285;93604287;93604288;93604297;93600673;93604359;93604360;93604362;93604370;93604372;93604373;93604374;93604375;93604376;93604377;93604378;93604379;93604380;93604381;93604382;93604383;93604384;93604385;93604392;93604395;93600564;93600567;93600722;93600721;93600689;93600690;93600691;93600686;93604427;93604428;93604429;93604433;93604436;93604440;93604441;93604448;93604449;93604450;93604461;93600051;93604657;93604658;93604659;93604661;93604667;93604668;93604669;93604670;93604671;93604672;93604674;93604676;93604677;93604678;93604679;93604680;93604681;93604683;93604684;93604687;93604688;93604689;93604692;93604800;93604809;93604813;93604818;93604819;93604820;93604821;93604824;93604825;93604826;93604827;93604828;93604894;93604902;93604938;93604939;93604961;93600062;93604965;93604791;93604980;93604714;93600924;93605124;93605154;93605162;93605165;93605166;93605176;93605130;93605217;93605119;93605230;9411195;93604707;93604710;4414807;4390794;93605236;93604711;93604719;93604717;93604716;93604623;93604647;93605314;93605316;93605318;93605349;93604739;93604740;93605163;93605461;93605482;93605568;4411707;4342809;93605653;93605651;93604748;93604438;93605137;93605634;93605637;93605658;93605659;93605662;93605661;93605663;5107410;93604319;5167697;93600999;57400006;93605685;5733107;93605700;93605701;93605702;93604662;93604664;93604666;4649200;93605725;93605720;93605726;93604720;93604728;93605731;93600925;93604766;93604767;93604761;93604765;93605350;93605781;93605785;93605782;93605783;93605787;93605786;93605788;93600906;93605780;93605777;93605778;93605665;93605805;93605804;93605809;93600506;93605824;93605823;93605822;93605821;93605820;93604397;93605341;93605876;93600401;93600399;93605573;93600964;93605664;93605897;93605890;93600060;93600393;93600374;93600462;93600584;93605901;93605902;93605904;93605905;93605906;93604963;93605815;93605909;93605910;93605912;93605913;93605120;93605109;93605212;93605927;93605110;93605928;2925308;93605929;2949009;93605930;93605931;93605934;93605583;93600798;93605943;93605944;93605945;93605946;93605947;93605948;93605949;93605951;93605952;93605953;93600872;93605955;93605579;93605585;93600800;93600760;93600750;93600862;93600816;93600828;93600841;93605957;93600757;93600822;93600837;93600846;93600857;93605959;93605960;93605961;93605919;93605918;93605962;93605963;93605965;93605966;93605990;93605993;93605994;93605995;93605996;93606008;93606009;93606015;93606016;93604271;93604773;93604732;93604733;93600400;93606080;93606081;93606135;93600435;93606161;93606162;93606163;93600465;93606176;93606179;93606180;93606200;93606210;93606221;93606187;93600395;93605569;93600377;93600408;93600424;93600483;93600443;93600366;93600474;93600453;93600418;93600498;93600500;93600387;93606239;93606240;93604584;93604498;93606263;93606264;93606284;93606285;93604936;93606336;93606335;93606343;93606380;93606382;93606383;93600046;93600923;93604816;5265204;93605331;93605325;5164106;93605340;5261295;93605321;5251794;93606407;93605941;93606410;93606470;93606450;93606523;93600878;93606535;93600523;93600515;93600517;93600525;93600511;93600520;93606538;93606549;93606552;93606558;93604420;93604419;93606580;93606582;93606583;93606598;93606661;93604776;93606665;93606664;93606757;93606758;93606759;93606760;93606305;93606762;93600535;93605460;93606766;93606767;93606768;93606770;93606771;93606772;93606779;93606780;93606781;93606783;93606784;93606785;93606786;93606787;93606788;93606791;93606792;93606793;93606795;93606796;93606797;93606798;93600572;93606824;93606826;93606843;93606844;93606845;93606860;93606864;93606877;93606879;93606887;93606888;93606889;93606891;93606894;93606897;93606898;93606905;93606906;93606907;93606908;93606909;93606910;93606911;93606912;93606913;93606919;93606920;93607034;93607079;93600915;93607214;93607215;93606833;93606859;93607271;93606901;93608099;93608112;93608137;93608149;93608157;93608160;93608161;93608162;93608163;93608166;93608170;93608171;93608179;93608181;93608184;93608196;93608208;93608242;93608249;93608287;93608286;93609887;93609000;93609667;93610416;93608428;93608440;93610450;93610471;93610477;93610489;93607075;93608024;93610448;93605816;93605835;93605836;93610946;93610945;93610947;93606105;93610960;93610969;93610970;93610980;93610981;93610982;93610983;93610991;93610992;93610993;93610994;93610995;93610996;93611001;93611002;93611003;93611004;93611005;93611009;93611010;93611011;93611012;93611013;93611014;93611015;93611016;93611017;93611018;93611019;93611020;93611022;93611030;93611036;93611037;93610118;93609804;93606819;93608580;93609755
12,10008,93600539;93600541;93600564;93600567;93600571;93600644;93600660;93600665;69200357;69200091;93600920;93600926;93600932;93600933;93600934;93600935;9598298;93600956;93600957;93600971;93600972;93600977;93600998;93604232;93604233;93604234;93604235;93604236;93604241;93604243;93604244;93604245;93604246;93604247;93604248;93604249;93604252;93604254;93604255;93604256;93604257;93604258;93604259;93604260;93604261;93604263;93604289;93604304;93604305;93604307;93604308;93604309;93604310;93604315;93604316;93604317;93604318;93604326;93604331;93600643;93600673;93604337;93604338;93604339;93604340;93604341;93604342;93604343;93604344;93604345;93604347;93604348;93604349;93604351;93604352;93604353;93604373;93604375;93604376;93604377;93604378;93604379;93604380;93604381;93604382;93604383;93604384;93604385;93604387;93604392;93604395;93604415;93604416;93604417;93600537;93600689;93600690;93600691;93600687;93604427;93604428;93604429;93604430;93604431;93604432;93604440;93604441;93604448;93604449;93604450;29200008;93604798;93604799;93604800;93604801;93604802;93604803;93604805;93604806;93604808;93604809;93604810;93604811;93604813;93604814;93604815;93604817;93604818;93604819;93604820;93604821;93604822;93604823;93604824;93604825;93604826;93604828;93604835;93604836;93604847;93604848;93604851;93604852;93604853;93604854;93604855;93604858;93604859;93604862;93604863;93604864;93604865;93604866;93604867;93604868;93604869;93604870;93604871;93604872;93604873;93604877;93604878;93604894;93604902;93604936;93604938;93604939;93604959;93604791;93604980;93604981;93604982;93604714;93604988;93604989;93604999;93605124;93605154;93605162;93605165;93605077;93605076;93605176;93605110;93605130;93605217;93605081;93605119;93605230;9411195;4414807;4390794;93605236;93604707;93604710;93604717;93604647;93605314;93605316;93605318;93605349;93604829;93605362;93605363;93605364;93605365;93605366;93605385;93605386;93605163;93605482;93605529;93605551;93605568;4411707;4342809;93605653;93605651;93604748;93604438;93605137;93605634;93605637;93605658;93605659;93605393;93605660;93605661;93605663;5107410;93604319;5167697;93600999;93605668;93604998;57400006;93605692;57400025;5796997;5816496;5725108;5802496;5716005;5771601;5770108;5890796;5877297;93605703;93605704;5774904;5714005;5865297;93605695;93605694;93605705;5824395;93605706;5869104;93600051;93605727;93605534;93605732;93605731;93605730;93605729;93605734;93605737;93605736;93605735;93605742;93605763;93605350;93605781;93605785;93605782;93605783;93605787;93605786;93605788;93605780;93600906;93605777;93605778;93605665;93605805;93605804;93605809;93600506;93605824;93605823;93605822;93605821;93605820;93605843;93605848;93605849;93605850;93605851;93605852;93605878;93604397;93605341;93605877;93605876;93600401;93600399;93605573;93600964;93605664;93605897;93600393;93600374;93600462;93600584;93605901;93605902;93605903;93605904;93605905;93605906;93605907;93604963;93605815;93605909;93605910;93605912;93605913;93605888;93605914;93605120;93605923;93605109;93605212;93605927;93605928;2925308;93605929;2949009;93605930;93605931;93605934;93605583;93600798;93605943;93605944;93605945;93605946;93605947;93605948;93605949;93605951;93605952;93605953;93600872;93605955;93605579;93605585;93600800;93600760;93600750;93600862;93600816;93600828;93600841;93605957;93600757;93600822;93600837;93600846;93600857;93605959;93605960;93605961;93605919;93605918;93605962;93605963;93605965;93605966;93605990;93605993;93605994;93605995;93605996;93606011;93606012;93606015;93606016;93606018;93600043;93600042;93606019;93606020;93606021;93604271;93600400;93605862;93606080;93606081;93606135;93600435;93606162;93606163;93604687;93604688;93604689;93600465;93606176;93606174;93606200;93605111;93605926;93605112;93605925;93606210;93606220;93606221;93606187;93600395;93605569;93600377;93600408;93600424;93600483;93600443;93600366;93600474;93600453;93600468;93600418;93600498;93600500;93600387;93606239;93606240;93605327;93605328;93605329;93604498;93606263;93606264;93606269;93606284;93606285;93600527;93606336;93606335;93606343;93600514;93606380;93606382;93606383;93600046;10;93600923;93604816;93600970;5265204;93605331;93605339;93605325;5164106;93605340;93605338;5261295;93605321;5251794;93605000;93600053;93606393;93605941;93606423;93606417;93606414;93606490;93606523;93606531;93600878;93606535;93600523;93600515;93600517;93600525;93600511;93600513;93600520;93606538;93606548;93606553;93604420;93604419;93606584;93606585;93606586;93606661;93606757;93606758;93606759;93606760;93606305;93606762;93600535;93605460;93606766;93606767;93606768;93606770;93606771;93606772;93606779;93606780;93606781;93606783;93606784;93606785;93606786;93606787;93606788;93606791;93606792;93606793;93606795;93606796;93606797;93606798;93600572;93606824;93606826;93606831;93606843;93606844;93606845;93606860;93606877;93606879;93606887;93606888;93606889;93606891;93606894;93606897;93606898;93606905;93606906;93606907;93606908;93606909;93606910;93606911;93606912;93606913;93606919;93606920;93607071;93600915;93607214;93607215;93607230;93607254;93607255;93606833;93607271;93606901;93604691;93608099;93608181;93608242;93608246;93608249;93609000;93608377;93608380;93610417;93609875;93610993;93611005;93611004;93611009;93611010;93611011;93611012;93611027;93611018;93611017;93610839;93608008
13,10009,93600537;93600571;93600658;93600659;93600660;93600661;93600592;69200357;69200091;93600932;93600933;93600934;93600935;9598298;93600956;93600957;93600959;93600971;93600972;93600998;54564;45500106;54000008;54635;54630;5076309;93604286;93604373;93604392;93604395;93600567;93600662;93600585;93604439;93604440;93604441;93604444;93604448;93604449;93604450;93604451;93604455;93604456;93604457;93604512;93604513;52000057;52400040;5170009;5177009;5152609;5152709;5206708;5209508;5115704;5163006;93604521;5109304;5161799;5192801;5109204;5192901;5233397;5233597;93600739;93604550;93604558;93604882;93604684;93604894;93604902;93604933;93604936;93604938;93604939;93604960;5802207;93604974;93604975;93604791;93604980;93604714;93605002;93605003;93605006;93605007;93605008;93605010;93605012;93605013;93605014;93605015;93605016;93605017;93605018;93605019;93605022;93605023;93605027;93605028;93605029;93605030;93605031;93605032;93605034;93605036;93605037;93605039;93605040;93605041;93605042;93605043;93605044;93605045;93605046;93605047;93605048;93605049;93605050;93605051;93605052;93605053;93605054;93605057;93605058;93605059;93605060;93605062;93605064;93605065;93605066;93605067;93605068;93605070;93605071;93605072;93605075;93605076;93605077;93605078;93605079;93605081;93605082;93605083;93605085;93605086;93605088;93605090;93605096;93605099;93605124;93605143;93605142;93605144;93605145;93605146;93605147;93605148;93605149;93605150;93605151;93605152;93605153;93605154;93605155;93605156;93605162;93605165;93605167;93605168;93605074;93605109;93605110;93605112;93605121;93605198;93605199;93605200;93605201;93605202;93605203;93605204;93605205;93605208;93605209;93605210;93605111;93605212;93605130;93605217;93605033;93605118;93605119;93605131;93604832;93605223;9411195;4414807;4390794;93605236;93604707;93604710;93604609;93604623;93605314;93605316;93605318;93605363;93605364;93605365;93605366;93605163;4411707;4342809;93605653;93605651;93604748;93604438;93605137;93605634;93605637;93605658;93605659;93605661;93605663;5107410;93604319;5167697;93600999;93605676;93605677;93605678;93605679;93605680;93605681;93605682;93605675;93605674;93605693;5869104;58221;57400025;57995;58433;57357;93604959;93605707;57400091;93605710;58156;57800;93605711;93605596;93605712;93605691;93605713;93605714;93605718;5852595;61400028;5871406;93605723;93600962;57100198;5741108;5740006;93605731;93605740;93605741;93605742;93605739;93605743;93605738;93605744;93605745;93605746;93605747;93605748;93605749;93605750;93605751;93605752;93605753;93605754;93605755;93605756;93605757;93605758;93605759;93605761;93605733;93605762;93605764;93605765;93600590;93605766;93605767;93605768;93605769;93605770;93605772;93605773;93605774;93605775;93605728;93605799;93605665;93605805;93605804;93605809;93605814;93600506;93605824;93605823;93605822;93605821;93605820;93605819;93605825;93605826;93605829;93605830;93605818;93605817;93605833;93605834;93605846;93605845;93605844;93605847;93605843;93605848;93605849;93605850;93605851;93605852;93605854;93605855;93605856;93605868;93604397;93605876;93600399;93605573;93605664;93605897;93600393;93600374;93600462;93600584;93605902;93605903;93605905;93605906;93605907;93604963;93605815;93605909;93605910;93605912;93605913;93605120;93605923;93605925;93605926;93605927;93605928;2925308;93605929;2949009;93605930;93605931;93605934;93605583;93600798;93605943;93605944;93605945;93605946;93605947;93605948;93605949;93605951;93605952;93605953;93600872;93605955;93605579;93605584;93605585;93600800;93600760;93600750;93600808;93600862;93600816;93600828;93600841;93605957;93600768;93605958;93600757;93600822;93600837;93600846;93600857;93605959;93605960;93605961;93605919;93605918;93605962;93605963;93605965;93605966;93605990;93605993;93605994;93605995;93605996;93606013;93606014;93606015;93606016;93605512;93604271;93605999;93600400;93606080;93606081;93604883;93604884;93604885;93600435;93606162;93604687;93604688;93604689;93600465;93606176;93606177;93606192;93606134;93606193;93606194;93606195;93606196;93606198;93606199;93606200;93606201;93606202;93606203;93606204;93606210;93606220;93606221;93606187;93600395;93605569;93600377;93600408;93600424;93600483;93600443;93600366;93600474;93600453;93600468;93600418;93600498;93600500;93600387;93606239;93606240;93606242;93606251;93606252;93606253;93606256;93606257;93606258;93604498;93606261;93606262;93606263;93606264;93606281;93606284;93606285;91924;93600527;93606336;93606335;93606343;93600514;93606353;93606355;93606356;93606357;93606359;93606352;93606361;93606362;93606363;93606365;93606366;93606367;93606369;93606370;93606371;93606380;93606382;93606383;93600589;93600046;93600580;93600970;93605941;93606409;93606408;93600588;93606425;93606433;93606523;93600878;93606535;93600523;93600515;93600517;93600525;93600511;93600513;93600520;93606538;93606546;93606555;93606557;93604420;93604419;93606572;93606577;93606578;93606579;93606597;93606609;93606610;93606611;93606612;93606613;93606614;93606615;93606622;93606623;93606624;93606625;93606626;93606627;93606628;93606629;93606630;93606631;93606632;93606633;93606634;93606635;93606636;93606637;93606638;93606639;93606640;93606641;93606642;93606643;93606644;93606645;93606646;93606647;93606648;93606718;93606723;93606734;93606735;93606740;93606741;93606742;93606743;93606744;93606745;93606746;93606747;93606748;93606749;93606751;93606752;93606753;93606754;93606755;93606756;93606757;93606758;93606759;93606760;93606305;93606762;93600535;93605460;93606763;93606765;93606766;93606767;93606768;93606770;93606772;93606775;93606778;93606779;93606780;93606781;93606783;93606784;93606785;93606787;93606789;93606790;93606791;93606792;93606793;93606795;93606796;93606797;93606798;93606806;93606807;93600572;93606824;93606826;93606843;93606844;93606845;93606868;93606877;93606878;93606887;93606888;93606889;93606891;93606896;93606897;93606898;93606899;93606905;93606906;93606907;93606908;93606909;93606910;93606911;93606912;93606913;93606914;93606915;93606916;93606918;93606919;93606920;93606921;93606922;93606923;93606924;93606925;93606926;93606927;93606928;93606929;93606930;93606931;93606932;93606933;93606934;93606935;93606936;93606937;93606938;93606939;93606940;93606941;93606943;93606944;93606950;93607071;93607077;93607208;93607214;93607215;93607256;93606833;93607271;93606901;93607433;93607478;93607504;93607516;93607813;93608091;93608099;93608105;93608113;93608123;93608130;93608135;93608136;93608137;93608144;93608147;93608148;93608149;93608150;93608160;93608161;93608162;93608163;93608164;93608166;93608170;93608171;93608174;93608178;93608184;93608208;93608212;93608214;93608215;93608216;93608220;93608222;93608223;93608225;93608227;93608228;93608229;93608230;93608232;93608233;93608235;93608236;93608237;93608238;93608239;93608240;93608246;93608249;57185;93608361;93609187;93609022;93609887;93609239;93609000;93608378;93608382;93608388;93608369;93608370;93608373;93609875;93608439;93608428;93609812;93608563;93610450;93610477;93608526;93608025;93610448;93605816;93605835;93605836;93610946;93610945;93610947;93606105;93610960;93610969;93610970;93610980;93610981;93610982;93610817;93610756;93610757;93610752;93610831;93610832;93608202;93608201;93608200;93610983;93610991;93610992;93610993;93610994;93610995;93610996;93611004;93611005;93611006;93611007;93611008;93611009;93611010;93611011;93611012;93611013;93611014;93611015;93611016;93611017;93611018;93611019;93611020;93611022;93611029;93611032;93611036;93611037;93609129;93609221;93609804;93609491;93608580;93608451;93605436;93605437
14,10010,93600932;9598298;93600956;93600957;93604373;93604445;93604448;93604449;93604450;93604568;93604569;93604570;93604572;93604573;93604577;93604588;93604589;93604590;93604626;93604627;93604628;93604629;93604634;93604633;93604714;93605154;93604620;93605165;93605130;93605217;93605122;4414807;93605236;93604711;93604719;93604564;93604565;93604561;93604563;93605261;93605262;93605263;93605267;93604596;93604597;93604598;93604599;93604600;93604601;93604591;93604592;93604593;93604594;93604595;93604607;93604606;93604605;93604604;93604608;93604609;93604612;93604614;93604616;93604618;93604602;93604603;93604623;93605273;93605304;93605305;93604636;93604637;93604639;93604638;93604640;93604641;93604642;93604643;93604647;93604648;93604651;93604653;93604654;93604655;93605313;4390794;93604560;93605641;4411707;4342809;93605653;93605654;93605655;93605651;93604748;93604438;93605137;5107410;93604319;93600999;57400006;93605731;93605790;93605800;93605665;93605805;93605804;93605809;93600506;93605824;93605823;93605858;93600399;93604963;2979302;93605990;93605993;93605994;93605995;93605996;93606015;93606016;93604273;93606081;93600435;93606162;93604687;93604688;93604689;93600465;93606198;93606221;93606187;93600395;93605569;93600377;93600408;93600424;93600483;93600443;93600366;93600474;93600418;93600498;93600500;93600387;93604579;93604584;93605268;93604498;93606284;93606285;93606316;93606330;93600523;93600515;93600517;93600511;93600520;93606538;93606550;93606556;93606718;93606757;93606758;93606759;93606760;93606305;93606762;93600535;93605460;93606766;93606767;93606768;93606770;93606791;93606792;93606797;93606798;93600572;93606843;93606844;93606845;93606887;93606888;93606889;93606891;93606897;93606898;93606905;93606906;93606907;93606908;93606909;93606910;93606911;93606919;93606920;93606981;93607057;93607990;93608093;93608092;93608099;93608179;93607884;93608208;93610477;93604278;93605816;93605835;93605836;93610946;93610945;93610947;93606105;93610960;93610969;93610970;93610980;93610981;93610982;93610993;93610994;93610995;93610996;93611036;93611037;93610124;93609086;93609755;93610684
15,10012,29000009;2979302;2938797;2951005;2958606;2917008;2911908;2962408;2931908;2915307;2950609;2974500;9700502;2990209;2992907;2988806;2989806;2949009;2925308;61300109;61300110;29400061;2874010;2874210;2874110;2872010;2901709;9985092;9988288;93605109;93605110;93605111;93605112;93605116;93605212;93605622;93605648;93605925;93605926;93605927;93605928;93605929;93605930;93605931;93605933;93606210;93606590;93606596;93606740;93606741;93606742;93606743;93606753;93606754;93606755;93606756;93606763;93606765;93607071;93607325;93607992;93608159
16,10013,5284904;5291604;5174907;5407410;5438511;5173807;5175107;5153804;5173907;5173410;5107410;5201708;5167697;93600063;93600896;93600899;93600900;93600999;93604224;93604244;93604245;93604246;93604247;93604319;93604533;93604894;93605232;93605568;93605563;93605813;93606135;93606137;93606152;93606153;93606373;93606374;93600998;93606574;93606872;93606919;93606920;93608118;93608119;93606156;93606157
17,10014,4656204;4411707;4342809;4414807;4390794;93604791;93604714;93604994;93604995;93604996;93604707;93604710;93604719;93604716;93604739;93604740;93605461;93605462;93605463;93605464;93605482;93605487;93605491;93605595;93605599;93605600;93605653;5201708;93605724;93605573;93605902;93605901;93605904;93605906;93606164;93606165;93606166;93606200;93606239;93606240;93606274;93606416;93606872;93606874;93606875;93606880;93606893;93606894;93606897;93606898;93607034;93607052;93607241;93607242;93607243;93607244;93607335;93607590;93608160;93608161;93608162;93608163;93608208;93605816;93606105
18,10015,57400025;5815808;5806304;5816496;5771601;5783808;9598298;5802496;5707098;6812997;57400006;93604900;93605226;93605227;93605228;93605230;9411195;93606163;93600940;93600941;93606416;93606469
19,10016,50700010;3339506;4270504;3484009;3458609;3377809;3393009;93601002;4244796;3461594;4905304;5020304;4932204;5061086;5076309;93600464;93604223;5046211;5025004;93605570;93605571;93600467;93600379;93600380;93600389;93600390;93600397;93600399;93600410;93600411;93600419;93600422;93600426;93600430;93600437;93600438;93600369;93600370;93600445;93600446;93600456;93600459;93600465;93600469;93600470;93600476;93600485;93600486;93600491;93600494;93600364;93600365;93605666;93605824;93605823;93605837;93605838;93605839;93605664;93605897;93606081;93604687;93604688;93604689;93606263;93606264;93606766;93606767;93606768;93606770;93606771;93606786;93606788;93606791;93606792;93606797;93606798;93611001;93611002;93611003
20,10017,4906004;4901888;93601003;93601004;93604538;93604541;93604498;93606833
21,10018,93600902;93600903;93600906;93600911;93600919;93600920;93600926;93600927;93600928;93600932;93600933;93600934;93600935;93604800;93604813;93604819;93604820;93604821;93604899;93605073;93605084;93605087;93605091;93605098;93605100;93605101;93605102;93605103;93605104;93605105;93605106;93600899;93605301;93605316;93605318;93605349;93605351;93605352;93605176;93600925;93605776;93605777;93605778;93600910;93605355;93605356;93605357;93605780;93605781;93605782;93605783;93605785;93605786;93605787;93605788;93605350;93606158;93605353;5265204;93605331;93605339;93606348;93605325;5164106;93605340;93605338;5261295;93605321;5251794;93606159;93605342;93605343;93600923;93604816;93606418;93604661;93606424;93606661;93600915;93607283
22,10019,4548005;5473304;5470407;93604994;93605233;93604707;93604710;93604719;93605724;93605482;93605731;93606183;93606182;93606774;93607988;93608120
23,10020,52000057;52400040;5170009;5177009;5152609;5152709;5209508;5206708;5115704;5163006;5161799;5109304;5192801;5192901;5109204;5233397;5233597;5167697;93600998;93600999;93604286;93604319;93604521;93604894;93605013;93605014;93605015;93605016;93605017;93605018;93605019;93605022;93605168;5107410;93605675;93605674;93605814;93606134;93606193;93606194;93606195;93606196;93606919;93606920;93607872
24,10021,5871406;57100198;5741108;5740006;5802207;61400028;5852595;93605010;93605012;93605723;93600962;93606706;93606950;93611032
25,10022,57995;58221;58433;57357;57400091;58156;57800;9598298;5802207;93605002;93605003;93605006;93605008;9411195;93605596;93605693;5869104;57400025;93604959;93605707;93605710;93605711;93605712;93605691;93605713;93605714;93605718;61400028;93605065;93605819;93605825;93605826;93605829;93605830;93605817;93605833;93605834;93605846;93606192;93606199;93606242;57185
26,10023,54555;46866;54609;54622;54597;54596;54670;54626;54564;45500106;54630;93604451;54000008;54635;93605072;93605071;93605074;93605075;93604707;93604710;93605731;93605076;93605077;93605078;93605079;93605740;93605741;93605742;93611029
27,10024,5796997;5890796;5725108;5770108;5716005;5714005;5824395;5774904;5877297;5869104;9411195;29200008;5865297;9598298;93604798;93604959;93605230;57400006;93605692;57400025;5816496;5802496;5771601;93605703;93605704;93605706;93606163;93606417
28,10025,
29,10026,93606505;93606707;93607008;93607584;93607736;93607742;93607785;93607827;93607836;93607837;93607877;93607880;93607888;93607900;93607903;93607930;93607951;93607961;93607962;93607974;93607975;93607977;93607987;93607995;93607996;93607997;93607998;93608002;93608003;93608004;93608005;93608007;93608009;93608010;93608011;93608012;93608013;93608014;93608015;93608016;93608017;93608019;93608021;93608022;93608040;93608041;93608042;93608043;93608044;93608087;93608088;93608089;93608090;93608095;93608096;93608146;93608168;93608317;93608328;93608330;93608331;93608332;93608333;93608341;93608342;93608343;93608344;93608345;93608346;93608347;93608353;93608354;93608355;93608356;93608357;93608358;93608359;93608362;93608363;93608366;93608367;93608368;93610411;93610412;93610415;93610418;93610419;93610420;93610421;93610422;93610423;93610424;93610425;93610426;93610470;93610492;93610493;93610532;93610533;93611045;93611046;93611047
