,id,categories,name,price,type,accessories
65,93607234,1;10045;10049,SKULL SHIELD PATCH CAP,28.480000,simple,
66,93607235,1;10045;10049,EMBROIDERED FLAMES CAP,28.480000,simple,
67,93607236,1;10045;10049,FRAYED LOGO CAP,22.780000,simple,
68,93607237,1;10045;10049,FRAYED LOGO CAP,22.780000,simple,
69,93607238,1;10045;10049,FRAYED TONAL LOGO CAP,22.780000,simple,
70,93607239,1;10045;10049,PERFORMANCE ICONIC CAP WITH DELTA TECHNOLOGY,0.000000,simple,
71,93607240,1;10045;10049,PERFORMANCE EAGLE CAP WITH DELTA TECHNOLOGY,0.000000,simple,
72,93607245,1;10045;10049,GENUINE PATCH 39THIRTY CAP,0.000000,simple,
73,93607246,1;10045;10049,COLORBLOCK 39THIRTY CAP,0.000000,simple,
74,93607247,1;10045;10049,COLORBLOCK LOGO 39THIRTY CAP,0.000000,simple,
75,93607248,1;10045;10049,FONT 39THIRTY BASEBALL CAP,0.000000,simple,
76,93607258,1;9;10034;10000129;10000385,"PROTECTOR HOMBRE PARA CADERAS, CE LEVEL 1",26.810000,simple,
77,93607260,1;9;10029;10034;10036;10040;10000129;10000381,"PROTECTOR  PARA ESPALDA, CE LEVEL 1",0.000000,simple,
78,93607261,1;9;10036;10000129;10000387,"PROTECTOR MUJER PARA CADERAS, CE LEVEL 1",19.310000,simple,
79,93607262,1;9;10036;10040;10000129,"PROTECTOR MUJER PARA HOMBROS, CE LEVEL 1",26.810000,simple,
80,93607263,1;9;10029;10034;10036;10040;10000129;10000381;10000387,"PROTECTOR HOMBRE/MUJER PARA HOMBROS, CODOS Y RODILLAS, CE LEVEL 1",26.810000,simple,
81,93607291,1,"RUTA NOCTURNA ""EL CHORRO""",16.528926,virtual,
82,93607303,1,"RUTA NOCTURNA ""HARLEY-DAVIDSON SIEBLA MÁLAGA""",20.619835,virtual,
83,93607307,1;10032;10000039,CASCO  VINTAGE STRIPE FULL-FACE BY H-D,0.000000,simple,
84,93607367,1;10000386,TERMOMETRO NOSTALGICO B & S HARLEY DAVIDSON,24.504132,simple,
85,93607368,1;10000381;10000386,JUEGO CUBETA GALVANIZADA PARA BEBIDAS HARLEY DAVIDSON,108.504132,simple,
86,93607369,1;10000386,CARTEL LATA ACEITE PUB HARLEY DAVIDSON,56.000000,simple,
87,93607370,1;10000381;10000386,ABRIDOR BOTELLAS PARED ALE BY HARLEY DAVIDSON,26.148760,simple,
88,93607384,1;10027;10036;10056;10100;10000381,Camiseta sin mangas mujer Ribbed Henley High-Low Hem  Harley-Davidson®,0.000000,simple,
89,93607404,1,RUTA COMIDA NAVIDAD 2017,19.834711,virtual,
90,93607447,1;9;10029;10034;10000381,CHAQUETA CUERO THROWBACK VERDE HARLEY DAVIDSON,0.000000,simple,
91,93607448,1;9;10029;10034;10000039;10000381,CHAQUETA ACENTO CUERO ACOLCHADO HARLEY DAVIDSON,0.000000,simple,
92,93607486,1,CVO ULTRA CLASSIC ELECTRA GLIDE,12272.727273,simple,
93,93607514,1;10000039,Tapón con llave Negro,65.260000,simple,
94,93607515,1,KIT DE FILTRO DE AIRE SCREAMING EAGLE,226.360000,simple,
95,93607552,1;10045;10049,GORRA HOMBRE SKULL STRIPED 39 THIRTY,0.000000,simple,
96,93607554,1;10045;10049,GORRA BORDADA EN  3-D  39 THIRTY,0.000000,simple,
97,93607557,1;10045;10049,GORRA ARROW HDMC 59FIFTY BY HARLEY DAVIDSON,0.000000,simple,
98,93607559,1;10045;10049,GORRA BEISBOL TONAL BY HARLEY DAVIDSON,0.000000,simple,
99,93607560,1;10045;10049,GORRA DE CAMIONERO  EAGLE RIDER BY HARLEY DAVIDSON,28.480000,simple,
100,93607561,1;10045;10049,GORRA HDX  HARLEY DAVIDSON 59FIFTY,28.480000,simple,
101,93607562,1;10045;10049,GORRA Harley-Davidson®  Tribal Skull 39THIRTY®,0.000000,simple,
102,93607564,1;10045;10049,Gorra Kint Striped Harley-Davidson®  Checkerboard 39THIRTY®,56.960000,simple,
103,93607565,1;10045;10049,Gorra Silhouette  Harley-Davidson®,28.480000,simple,
104,93607566,1;10045;10049,GORRA PERFORMANCE ARROW BY HARLEY DAVIDSON,28.480000,simple,
105,93607569,1;10045;10049,GORRA VINTAGE LOGO  HARLEY DAVIDSON 59FIFTY,0.000000,simple,
106,93607570,1;10045;10049,GORRA VINTAGE LOGO  HARLEY DAVIDSON 59FIFTY,0.000000,simple,
107,93607571,1;10045;10049,GORRA ROLL YOUR OWN  HARLEY DAVIDSON 9FIFTY,28.480000,simple,
108,93607572,1;10045;10049,GORRA WINGED LOGO  HARLEY DAVIDSON 59FIFTY,0.000000,simple,
109,93607573,1;10045;10049,GORRA STONE GRAY CHECKERED  HARLEY DAVIDSON,28.480000,simple,
110,93607574,1;10045;10049,GORRA STONE GRAY CHECKERED  HARLEY DAVIDSON,0.000000,simple,
111,93607577,1;10045;10049,GORRA LAVADA EN ACEITE   HARLEY DAVIDSON 39THIRTY,0.000000,simple,
112,93607578,1;10045;10049,GORRA LAVADA EN ACEITE   HARLEY DAVIDSON 39THIRTY,0.000000,simple,
113,93607579,1;10045;10049,GORRA LIGHTNING LOGO  HARLEY DAVIDSON,28.480000,simple,
114,93607587,1;10032;10000039,CASCO NEEDLES HIGHWAY B01 3/4,0.000000,simple,
115,93607764,1;9;10027;10036;10056;10000124,BOTA MUJER WORKER NEGRAS,0.000000,simple,
116,93607767,1;9;10036;10056;10000124,BOTA MUJER ABBIE NEGRA HARLEY DAVIDSON,0.000000,simple,
117,93607797,1;10000040,CAMISETA HD SIEBLA AZUL NAVY,37.190083,simple,
118,93607798,1;10000040,CAMISETA HD SIEBLA AZUL CLARO,37.190083,simple,
119,93607799,1;10000040,CAMISETA HD SIEBLA NARANJA,37.190083,simple,
120,93607800,1;10000040,CAMISETA HD SIEBLA NARANJA GENUINE OIL,37.190083,simple,
121,93607801,1;10000040,CAMISETA HD SIEBLA GRIS,37.190083,simple,
122,93607802,1;10000040,CAMISETA HD SIEBLA NEGRA,37.190083,simple,
123,93607803,1;10000040,CAMISETA HD SIEBLA BLANCA,37.190083,simple,
124,93607807,1,Kit de altavoces y amplificador Boom Audio Bluetooth,0.000000,simple,
125,93607870,1,KIT DE TORNILLERIA DE FIJACION HOLDFAST,0.000000,simple,
126,93607873,1,Harley-Davidson® Men's Packable 3M Thinsulate Insulation Jacket,0.000000,simple,
127,93607876,1,SCREAMIN EAGLE HEAVY BREATHER EXTREME AIR CLEANER,0.000000,simple,
128,93607910,1;10045;10049,GORRA Harley-Davidson Hex Mesh 59FIFTY,0.000000,simple,
129,93607912,1;10045;10049,GORRA HARLEY DAVIDSON IRON BLOCK 59FIFTY,0.000000,simple,
130,93607918,1;10045;10049,GORRA  DE AVIADOR HARLEY DAVIDSON,0.000000,simple,
131,93607921,1;10045;10049,GORRA HARLEY DAVIDSON LONG LIVE  59FIFTY,0.000000,simple,
132,93607926,1;10045;10049,GORRA HARLEY DAVIDSON PERFORADA NEGRA 59FIFTY,0.000000,simple,
133,93608034,1;10032,CASCO INTEGRAL VANOCKER S08  BY HARLEY-DAVIDSON,0.000000,simple,
134,93608055,1;9;10029;10034;10099,VERTICAL STRIPE HOODED STRETCH JACKET BY HARLEY DAVIDSON,0.000000,simple,
135,93608066,1;10045;10049;10000039,GORRA HARLEY DAVIDSON TONAL LOGO 39THIRTY,0.000000,simple,
136,93608067,1;10045;10049;10000039,GORRA HARLEY DAVIDSON EMBROIDERED GRAPHIC 39THIRTY CAP,0.000000,simple,
137,93608068,1;10045;10049;10000039,GORRA HARLEY DAVIDSON TONAL LOGO 39THIRTY,0.000000,simple,
138,93608072,1;10027;10032,CASCO INTEGRAL HARLEY DAVIDSON BOOM! AUDIO FULL-FACE,0.000000,simple,
139,93608077,1;10027;10029;10034;10056;10099;10000039,CHAQUETA CASUAL HARLEY DAVIDSON OUT-OF-REACH RUGGED WAXED,0.000000,simple,
140,93608079,1;9;10029;10034;10099;10000039;10000381,CHAQUETA HARLEY DAVIDSON  SLIM QUILTED LINING,0.000000,simple,
141,93608080,1;9;10027;10029;10034;10056;10099;10000039,LEATHER SLEEVE SLIM FIT DENIM JACKET BY HARLEY DAVIDSON,0.000000,simple,
142,93608081,1;9;10027;10029;10034;10056;10099;10000039,CHAQUETA CUERO SLEEVE DENIM JACKET BY HARLEY DAVIDSON,0.000000,simple,
143,93608082,1;9;10027;10029;10034;10056;10099;10000039,Chaqueta convertible  Burnside Avenue Convertible Jacket BY HARLEY DAVIDSON,0.000000,simple,
144,93608085,1;9;10034;10000039;10000385,PANTALONES VAQUEROS MOTO WAXED DENIM PERFORMANCE BY HARLEY DAVISON,0.000000,simple,
145,93608106,1,CASCO HARLEY DAVIDSON KNAB 5/8,0.000000,simple,
